Id caso,nombre caso,tipo,Resultado esperado,Resultado obtenido,Criterios de aceptación,Estrategia,Estimación de tiempo ejecución
"001","CP-NFN-001 - Eficiencia del flujo de registro de inventario en tablet","No funcional – Usabilidad/Rendimiento","Completar el flujo de Movimiento de Stock (Entrada/Salida/Ajuste) en <5s con viewport 768x1024; sin errores de UI","Pendiente de ejecución","1) Se puede abrir el modal '📈 Registrar Movimiento de Stock' en tablet\n2) Se envía el formulario y aparece mensaje de éxito\n3) El stock del producto se actualiza correctamente","Caja Negra (E2E UI en Edge, emulación tablet)","3 minutos"
"002","CP-NFN-002 - Legibilidad y tamaño de elementos en tablet","No funcional – Usabilidad/Responsividad","Font-size ≥14px; botones/tap-targets ≥48x48 px; sin overflow ni solapamiento","Pendiente de ejecución","1) Botones 'Movimiento de Stock' y 'Registrar Movimiento' ≥48x48 px\n2) Tabs '📈 Control de Stock' y '📋 Reportes' legibles (≥14px)\n3) No hay solapamientos en viewport 768x1024","Caja Negra (E2E UI; verificación de estilos computados)","4 minutos"
"003","CP-NFN-003 - Carga: 50 usuarios concurrentes (login + dashboard)","No funcional – Carga/Performance","p95 login <1s; p95 carga /warehouse-dashboard <2s","Pendiente de ejecución","1) 50 usuarios logran autenticarse sin errores\n2) p95 de login y carga de dashboard cumple objetivos","Caja Blanca (API) + Herramienta de carga (Locust)","15 minutos"
"004","CP-NFN-004 - Estrés: registro de salidas de inventario","No funcional – Estrés","Identificar punto de ruptura sin inconsistencias de stock; degradación controlada","Pendiente de ejecución","1) Incremento sostenido de tasa de 'out'\n2) Sistema se mantiene consistente (sin stock negativo)\n3) Se identifica umbral de error","Caja Blanca (API) + Locust (tasa creciente)","20 minutos"
"005","CP-NFN-005 - Volumen: generación de reportes de stock","No funcional – Volumen","Generar reporte en <10s con BD de >10k productos","Pendiente de ejecución","1) Reporte se genera sin timeouts\n2) Tiempo total <10s\n3) Datos agregados correctos","Caja Negra (E2E UI) + preparación de datos (seed)","15 minutos"
"006","CP-NFN-006 - Render y funcionalidad del módulo inventario en Firefox/Edge","Compatibilidad","UI consistente y flujos clave operativos en ambos navegadores","Pendiente de ejecución","1) Carga correcta en Edge y Firefox\n2) Flujo de Movimiento de Stock funciona en ambos","Caja Negra (E2E UI parametrizando navegador)","6 minutos"
"007","CP-NFN-007 - Compatibilidad Safari en iPad","Compatibilidad","UI y flujos correctos en Safari iOS (iPad)","Pendiente de ejecución","1) Navegación y flujos clave sin errores en Safari iOS\n2) Layout y tamaños correctos","Caja Negra (Cross-browser en BrowserStack/SauceLabs)","10 minutos"
"008","CP-NFN-008 - Operador de campo no puede generar reportes","Seguridad/Acceso","No ver pestaña '📋 Reportes' ni botón 'Generar Nuevo Reporte'","Pendiente de ejecución","1) Usuario no staff inicia sesión\n2) No se muestra sección de reportes\n3) Acceso a reportes está restringido","Caja Negra (E2E UI Roles)","2 minutos"
"009","CP-NFN-009 - Usuario no autenticado redirigido a login","Seguridad/Acceso","Redirección a login al acceder a rutas protegidas","Pendiente de ejecución","1) Acceso directo a /warehouse-dashboard sin sesión redirige a /login\n2) No se muestran contenidos protegidos","Caja Negra (E2E UI Rutas protegidas)","2 minutos"
"010","CP-NFN-010 - Consistencia tras operaciones concurrentes","Concurrencia/Integridad","Stock final consistente tras mezcla de 'in' y 'out'","Pendiente de ejecución","1) Ejecutar operaciones concurrentes sobre mismo producto\n2) Stock final coincide con cálculo esperado\n3) Sin condiciones de carrera visibles","Caja Blanca (API) + Locust (escenario mixto)","15 minutos"
